1.908,79.651
1.916,80.814
1.891,79.011
1.888,82.734
1.910,80.039
1.899,80.189
1.890,79.842
1.900,80.083
1.899,79.033
1.908,79.550
1.896,82.777
1.892,80.946
1.910,80.268
1.912,80.346
1.905,82.959
1.913,78.320
1.891,80.676
1.909,80.432
1.893,77.821
1.895,81.574
1.911,82.971
1.915,81.755
1.885,80.397
1.895,81.149
1.895,79.481
1.890,79.145
1.901,80.240
1.926,79.633
1.888,82.042
1.892,79.672
1.909,82.022
1.906,76.967
1.919,81.649
1.904,79.428
1.895,80.164
1.896,80.652
1.894,79.959
1.907,78.471
1.893,79.525
1.894,80.239
1.889,78.169
1.890,78.596
1.902,79.584
1.918,80.105
1.905,80.471
1.896,80.284
1.890,79.880
1.912,78.951
1.908,79.645
1.899,80.019
1.907,79.411
1.907,77.295
1.903,78.499
1.890,78.951
1.902,80.952
1.888,77.542
1.902,79.391
1.908,79.089
1.905,79.474
1.897,83.747
1.910,80.501
1.880,78.509
1.882,80.101
1.896,79.688
1.892,75.719
1.919,81.604
1.899,78.369
1.918,79.125
1.887,78.250
1.904,80.042
1.902,78.310
1.910,80.810
1.892,76.702
1.874,82.168
1.893,78.441
1.899,81.212
1.896,80.228
1.896,80.049
1.904,81.387
1.911,78.106
1.888,80.202
1.888,80.902
1.889,77.830
1.897,77.425
1.906,82.050
1.893,77.306
1.903,81.378
1.905,78.552
1.901,76.822
1.895,82.513
1.897,77.207
1.895,79.261
1.902,80.249
1.884,80.116
1.904,81.207
1.880,81.255
1.897,78.919
1.912,78.895
1.899,81.128
1.910,79.084
1.902,82.053
1.896,79.736
1.909,79.979
1.878,80.000
1.893,78.170
1.902,81.072
1.907,79.497
1.893,79.003
1.890,76.742
1.912,79.428
1.891,82.833
1.884,82.419
1.896,80.796
1.888,80.359
1.902,80.504
1.901,79.213
1.890,78.587
1.897,82.905
1.910,79.294
1.893,80.623
1.907,78.787
1.922,79.507
1.885,81.123
1.916,81.891
1.908,80.384
1.904,79.036
1.898,81.030
1.887,80.535
1.905,80.268
1.912,80.612
1.879,82.353
1.911,79.666
1.907,81.211
1.906,80.469
1.903,79.480
1.903,81.306
1.879,81.187
1.895,79.443
1.905,80.185
1.901,78.909
1.897,77.274
1.897,79.646
1.891,79.557
1.896,81.034
1.919,80.201
1.915,80.235
1.898,80.445
1.893,82.924
1.910,79.127
1.902,81.550
1.899,78.351
1.908,80.123
1.907,83.769
1.926,82.241
1.903,78.338
1.921,80.255
1.897,81.330
1.920,79.064
1.888,79.368
1.914,80.553
1.893,80.377
1.901,79.774
1.906,77.979
1.907,79.709
1.896,80.492
1.888,79.646
1.895,79.689
1.898,79.283
1.887,79.704
1.907,79.364
1.895,77.681
1.901,78.605
1.905,80.842
1.879,81.884
1.897,79.395
1.890,80.772
1.903,79.345
1.897,81.947
1.895,78.696
1.906,79.463
1.883,81.281
1.889,81.647
1.905,78.934
1.905,80.272
1.899,80.905
1.905,80.463
1.904,81.676
1.892,81.898
1.910,79.325
1.918,81.548
1.911,80.182
1.913,80.749
